Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
COv=0	Carbon Monoxide	115.27120, 115.27120	1-0	-5.01050	60.0	0.0000	0.0000	CDMS
HCNv=0	Hydrogen Cyanide	177.25968, 177.25968	J=2-1,F=2-2	-2.66710		2.9564	4.2536	JPL
HCNv=0	Hydrogen Cyanide	177.25992, 177.25992	J=2-1,F=1-0	-2.54220		2.9564	4.2536	JPL
HCNv=0	Hydrogen Cyanide	177.26111, 177.26111	J=2-1,F=2-1	-2.19000		2.9564	4.2536	JPL
HCNv=0	Hydrogen Cyanide	177.26122, 177.26122	J=2-1,F=3-2	-1.91890		2.9564	4.2536	JPL
HCNv=0	Hydrogen Cyanide	177.26201, 177.26201	J=2-1,F=1-2	-3.84320		2.9564	4.2536	JPL
HCNv=0	Hydrogen Cyanide	177.26345, 177.26345	J=2-1,F=1-1	-2.66710		2.9564	4.2536	JPL
COv=0	Carbon Monoxide	230.53800, 230.53800	2-1	-4.11970	70.	3.8450	5.5321	CDMS
HCNv=0	Hydrogen Cyanide	265.88618, 265.88618	J=3-2	-1.07510	20.	8.8692	12.7607	JPL
COv=0	Carbon Monoxide	345.79599, 345.79599	3-2	-3.61180	70.00	11.5350	16.5962	CDMS
HCNv=0	Hydrogen Cyanide	354.50548, 354.50548	J=4-3	-0.72200	17.40	17.7382	25.5212	JPL
HCNv=0	Hydrogen Cyanide	443.11616, 443.11616	J=5-4	-0.45910		29.5633	42.5347	JPL
COv=0	Carbon Monoxide	461.04077, 461.04077	4-3	-3.26570	60.	23.0695	33.1917	CDMS
CI(C-atom)	Atomic Carbon	492.16065, 492.16065	3P1-3P0	-4.46570		0.0000	0.0000	CDMS
HCNv=0	Hydrogen Cyanide	531.71639, 531.71639	J=6-5	-0.25560		44.3440	63.8008	JPL
COv=0	Carbon Monoxide	576.26793, 576.26793	5-4	-3.01180		38.4481	55.3179	CDMS
HCNv=0	Hydrogen Cyanide	620.30410, 620.30410	J=7-6	-0.09500		62.0802	89.3190	JPL
COv=0	Carbon Monoxide	691.47308, 691.47308	6-5	-2.81930	100.	57.6704	82.9744	CDMS
HCNv=0	Hydrogen Cyanide	708.87721, 708.87721	J=8-7	0.03260	48.7	82.7713	119.0888	JPL
HCNv=0	Hydrogen Cyanide	797.43366, 797.43366	J=9-8	0.13340	55.	106.4169	153.1093	JPL
COv=0	Carbon Monoxide	806.65181, 806.65181	7-6	-2.67160	110.	80.7354	116.1596	CDMS
CI(C-atom)	Atomic Carbon	809.34197, 809.34197	3P2-3P1	-3.98180		16.4167	23.6198	CDMS
HCNv=0	Hydrogen Cyanide	885.97141, 885.97141	J=10-9	0.21190	15.0	133.0164	191.3798	JPL
COv=0	Carbon Monoxide	921.79970, 921.79970	8-7	-2.55900		107.6424	154.8725	CDMS
HCNv=0	Hydrogen Cyanide	974.48840, 974.48840	J=11-10	0.27110		162.5693	233.8996	JPL
COv=0	Carbon Monoxide	1036.91239, 1036.91239	9-8	-2.47510	17.5	138.3904	199.1118	CDMS
HCNv=0	Hydrogen Cyanide	1062.98260, 1062.98260	J=12-11	0.31330		195.0747	280.6674	JPL
HCNv=0	Hydrogen Cyanide	1151.45200, 1151.45200	J=13-12	0.34030		230.5320	331.6822	JPL
COv=0	Carbon Monoxide	1151.98545, 1151.98545	10-9	-2.41560		172.9780	248.8753	CDMS
HCNv=0	Hydrogen Cyanide	1239.89459, 1239.89459	J=14-13	0.35340		268.9403	386.9429	JPL
COv=0	Carbon Monoxide	1267.01449, 1267.01449	11-10	-2.37730	65.	211.4041	304.1616	CDMS
HCNv=0	Hydrogen Cyanide	1328.30837, 1328.30837	J=15-14	0.35360		310.2987	446.4480	JPL
COv=0	Carbon Monoxide	1381.99510, 1381.99510	12-11	-2.35810	65.	253.6672	364.9684	CDMS
HCNv=0	Hydrogen Cyanide	1416.69138, 1416.69138	J=16-15	0.34190		354.6063	510.1964	JPL
NII(N+-atom)	Atomic Nitrogen	1461.13141, 1461.13141	3P1-3P0	0.00000		0.0000	0.0000	SLAIM
